participant_id	sample_id	aliquot_id	tissue_type	file_name	file_format	file_size	file_hash_type	file_hash_value	sequencing_center	platform	experiment_strategy	primary_site	public.or.for.public	Bioassay_ID
single_pt	cer849	NA	Normal	200627670055_R05C01_Grn.idat	IDAT	13686979	MD5	98e5c7dde743d065bda6c411597130f7	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_1J6R453E
single_pt	cer849	NA	Normal	200627670055_R05C01_Red.idat	IDAT	13686979	MD5	98f80f97c9542faa4e8de2cc1c849117	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_1J6R453E
single_pt	cer855	NA	Normal	200627670055_R06C01_Grn.idat	IDAT	13686979	MD5	c7dac3554db1152132c4fdc3bcbcc7e6	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_QWYEWSP5
single_pt	cer855	NA	Normal	200627670055_R06C01_Red.idat	IDAT	13686979	MD5	a5740a3b5b3b15e1b1c8c5042b90a080	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_QWYEWSP5
single_pt	cer859	NA	Normal	200627670055_R07C01_Grn.idat	IDAT	13686979	MD5	1e39d1eaf7d5eb44065f9fd308053408	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_PNH9TZY7
single_pt	cer859	NA	Normal	200627670055_R07C01_Red.idat	IDAT	13686979	MD5	44caee38926438ea90f4c4e0f68aad6d	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_PNH9TZY7
single_pt	cer860	NA	Normal	200627670037_R04C01_Grn.idat	IDAT	13686997	MD5	bd64518c07b9a7475547767b9c67800f	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_PH1KDKQ0
single_pt	cer860	NA	Normal	200627670037_R04C01_Red.idat	IDAT	13686997	MD5	f4677116f6ec2511151bd1c10fdf8912	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_PH1KDKQ0
single_pt	cer865	NA	Normal	200627670037_R05C01_Grn.idat	IDAT	13686994	MD5	e790d4648058f14aa0ebe4e07d175658	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_SD12X29J
single_pt	cer865	NA	Normal	200627670037_R05C01_Red.idat	IDAT	13686994	MD5	75335c151db4ef2d635ac8c6a2dc6168	CNMC	Illumina Infinium HumanMethylationEPIC	Methylation	Cerebellum	N	BA_SD12X29J
single_pt	ND_CBL_sample_08_85	NA	Normal	GSM3944972_6057833008_R03C01_Grn.idat.gz	IDAT	4268611	MD5	f2e566c4482e93207a8d4902292eb9f2	Arizona State University	Illumina Infinium HumanMethylation450	Methylation	Cerebellum	Y	BA_FQJ7J579
single_pt	ND_CBL_sample_08_85	NA	Normal	GSM3944972_6057833008_R03C01_Red.idat.gz	IDAT	4247907	MD5	6848cf7490ac82adaec80663a915b23a	Arizona State University	Illumina Infinium HumanMethylation450	Methylation	Cerebellum	Y	BA_FQJ7J579
single_pt	ND_CBL_sample_97_53	NA	Normal	GSM3944973_6057833026_R06C02_Grn.idat.gz	IDAT	4264365	MD5	eb04aac5f99145ad3c45def5c905da35	Arizona State University	Illumina Infinium HumanMethylation450	Methylation	Cerebellum	Y	BA_8EN0X6GX
single_pt	ND_CBL_sample_97_53	NA	Normal	GSM3944973_6057833026_R06C02_Red.idat.gz	IDAT	4247183	MD5	cb8c519a5b3f2a4d5edab379ea97a1aa	Arizona State University	Illumina Infinium HumanMethylation450	Methylation	Cerebellum	Y	BA_8EN0X6GX
