Bioassay_ID	sentrix_id	dkfz_v12.8_superfamily	dkfz_v12.8_superfamily_maxscore	dkfz_v12.8_family	dkfz_v12.8_family_maxscore	dkfz_v12.8_class	dkfz_v12.8_class_maxscore	dkfz_v12.8_subclass	dkfz_v12.8_subclass_maxscore	NIH_v3.1_superfamily	NIH_v3.1_superfamily_meanscore	NIH_v3.1_class	NIH_v3.1_class_score	NIH_v3.1_subclass	NIH_v3.1_subclass_meanscore
BS_TME3CH5P	205567980099_R08C01	Paediatric-Type Diffuse High-Grade Gliomas	0.999990557	Diffuse Midline Glioma, H3k27-Altered	0.999990485	Diffuse Midline Glioma, H3 K27-Mutant / EZHIP Overexpressing	0.999990458	DMG_K27	0.999990458	Diffuse midline glioma, H3 K27-altered	0.986	Diffuse midline glioma, H3 K27-altered	0.986	DMG K27	0.986
BS_V7BJFTRG	205707900146_R03C01	Ependymal Tumours	0.999898088	Posterior Fossa Ependymoma Group A	0.999885077	Posterior Fossa Ependymoma Group A1	0.999754379	EPN_PFA_1D	0.995531615	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.985	EPN PFA 1D	0.98
BS_CVAEDWP3	205624860109_R06C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.996843277	Low-Grade Glioneuronal Tumour	0.987277882	Rosette-Forming Glioneuronal Tumour	0.955881423	RGNT	0.955881423	Low-grade glial/glioneuronal tumors	0.99	Rosette-forming glioneuronal tumor	0.985	RGNT	0.985
BS_PDNXHWQ8	205676380019_R07C01	Pineal Parenchymal And Retinal Tumours	0.999115623	Pineoblastoma	0.998968918	Pineoblastoma, miRNA Pathway Altered, Group 1	0.998887759	PB_GRP1A	0.997497966	Pineal region tumors and retinoblastoma	0.986	Pineoblastoma	0.973	PB GROUP 1A	0.958
BS_DZK30R1H	206402350019_R03C01	Medulloblastoma	0.999728329	Medulloblastoma Non-WNT/Non-SHH Activated	0.999693618	Medulloblastoma Group 4	0.999659797	MB_G34_VIII	0.999455759	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 VIII	0.989
BS_MZN7GK89	205567980099_R06C01	Paediatric-Type Diffuse High-Grade Gliomas	0.770138176	Paediatric-Type Diffuse High-Grade Gliomas	0.765890592	Diffuse Paediatric-Type High Grade Glioma, MYCN Subtype	0.755670573	pedHGG_MYCN	0.755670573	Neuroblastic embryonal tumors	0.516	CNS tumor with PATZ1 fusion	0.181	CNS PATZ1 FUS	0.181
BS_F6N9A1V2	205676390068_R05C01	Neuroblastoma	0.265882677	Neuroblastoma	0.265882677	Neuroblastoma	0.265882677	NB_TMM_NEG	0.263578829	Mesenchymal tumors	0.848	Malignant melanotic nerve sheath tumor	0.423	MMNST	0.423
BS_NDRBA7M5	205707900163_R01C01	Other CNS Embryonal Tumours	0.825060584	Atypical Teratoid Rhabdoid Tumour	0.818676467	Atypical Teratoid Rhabdoid Tumour, MYC Activated	0.797557088	ATRT_MYC	0.797557088	SMARC-altered tumors	0.344	Atypical teratoid/rhabdoid tumor	0.287	ATRT MYC	0.286
BS_Q7YA56VW	205657380092_R05C01	Cranial And Paraspinal Nerve Tumours	0.852607448	Cranial And Paraspinal Nerve Tumours	0.798936027	Plexiform Neurofibroma	0.798832268	NFIB_PLEX	0.798832268	Mesenchymal tumors	0.988	Plexiform neurofibroma	0.987	NFIB PLEX	0.987
BS_M37MAAEE	206390560034_R04C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.499267722	Low-Grade Glioneuronal Tumour	0.455586247	Diffuse Glioneuronal Tumour, Non Defined Type	0.4507733	GNT_A	0.4507733	Intermediate-grade IDH-wildtype gliomas	0.834	Glioneuronal tumor, kinase-fused	0.426	GNT KinF A	0.426
